Treatment,Intensity
control,22.65740398
control,23.57986597
control,25.03276507
control,28.58104826
control,12.63859906
control,25.13816599
control,10.0024783
control,16.57816196
control,8.525062749
control,13.49746145
control,18.62498409
control,9.623261078
control,16.97981304
control,17.40486804
control,21.00591322
control,19.54982749
control,14.09247801
control,30.6101093
control,26.30289726
control,19.28437833
control,16.42875354
control,5.340572408
control,22.75974228
control,10.74142769
control,18.43900522
control,22.41003043
control,21.34229218
control,16.46014182
control,22.24899356
control,13.88247563
control,13.70849739
control,15.08372389
control,23.50284251
control,16.69918013
control,15.71456601
control,14.95466105
control,19.7474949
control,21.41488448
control,9.055495401
control,26.22937806
control,14.26649939
control,28.17989328
control,22.75136931
control,22.06567169
control,14.16117139
control,14.20902596
control,16.76835653
control,21.20313334
control,23.95153948
control,20.64246108
control,6.823164951
control,27.95208192
control,12.22952351
control,11.31249489
control,12.27707521
control,15.16527817
control,20.66007172
control,28.61838615
control,15.62113073
control,15.71977487
control,22.68613406
control,15.23396345
control,16.64734953
control,22.349773
control,11.64118497
control,25.70387828
control,17.60083074
control,20.79697617
control,24.06546929
control,17.18698092
control,18.86202764
control,17.27925137
control,14.17418407
control,17.15557981
ZLW1-RNAi,11.87467041
ZLW1-RNAi,17.05476576
ZLW1-RNAi,16.76184874
ZLW1-RNAi,12.06664453
ZLW1-RNAi,11.67364262
ZLW1-RNAi,15.58368039
ZLW1-RNAi,12.3963847
ZLW1-RNAi,16.45068797
ZLW1-RNAi,8.441122737
ZLW1-RNAi,14.54473741
ZLW1-RNAi,17.46272192
ZLW1-RNAi,12.22057804
ZLW1-RNAi,13.91652216
ZLW1-RNAi,16.44426153
ZLW1-RNAi,17.05300906
ZLW1-RNAi,18.78329738
ZLW1-RNAi,14.75500432
ZLW1-RNAi,11.83804838
ZLW1-RNAi,14.05210118
ZLW1-RNAi,18.74484707
ZLW1-RNAi,17.01507904
ZLW1-RNAi,13.35143315
ZLW1-RNAi,11.89994528
ZLW1-RNAi,13.65137294
ZLW1-RNAi,14.23679367
ZLW1-RNAi,15.54510474
ZLW1-RNAi,11.20194588
ZLW1-RNAi,11.95593433
ZLW1-RNAi,20.14209647
ZLW1-RNAi,14.32648133
ZLW1-RNAi,15.89223519
ZLW1-RNAi,13.8302845
ZLW1-RNAi,12.9825061
ZLW1-RNAi,14.30842338
ZLW1-RNAi,16.3169772
ZLW1-RNAi,12.36274162
ZLW1-RNAi,15.48603433
ZLW1-RNAi,8.569520636
ZLW1-RNAi,5.442649232
ZLW1-RNAi,16.05685409
ZLW1-RNAi,11.96320607
ZLW1-RNAi,10.3727839
ZLW1-RNAi,11.17784341
ZLW1-RNAi,13.15110397
ZLW1-RNAi,12.81989014
ZLW1-RNAi,13.1531259
ZLW1-RNAi,21.67218182
ZLW1-RNAi,9.351236531
ZLW1-RNAi,8.347768461
ZLW1-RNAi,15.66356161
ZLW1-RNAi,16.05638856
ZLW1-RNAi,9.615638018
ZLW1-RNAi,7.408113061
ZLW1-RNAi,17.86465569
ZLW1-RNAi,10.80183861
ZLW1-RNAi,11.93141031
ZLW1-RNAi,13.37503294
ZLW1-RNAi,5.325888336
ZLW1-RNAi,10.15766621
ZLW1-RNAi,19.74639311
ZLW1-RNAi,18.22138591
ZLW1-RNAi,18.29000811
ZLW1-RNAi,13.23649332
ZLW1-RNAi,12.3931594
ZLW1-RNAi,14.04648093
ZLW1-RNAi,13.06826037
ZLW1-RNAi,14.97873639
ZLW1-RNAi,8.68047786
ZLW1-RNAi,10.01665174
ZLW1-RNAi,21.21402635
ZLW1-RNAi,12.26836846
ZLW1-RNAi,16.21238213
ZLW1-RNAi,15.98104961
ZLW2-RNAi,14.59585707
ZLW2-RNAi,10.50675295
ZLW2-RNAi,8.232130546
ZLW2-RNAi,15.33310193
ZLW2-RNAi,2.723781146
ZLW2-RNAi,10.26366004
ZLW2-RNAi,23.13803705
ZLW2-RNAi,20.61919274
ZLW2-RNAi,21.94042073
ZLW2-RNAi,18.30805959
ZLW2-RNAi,18.7133205
ZLW2-RNAi,6.824265866
ZLW2-RNAi,1.888590035
ZLW2-RNAi,4.815842627
ZLW2-RNAi,4.375526453
ZLW2-RNAi,8.495660491
ZLW2-RNAi,12.631555
ZLW2-RNAi,4.615381888
ZLW2-RNAi,0.409973702
ZLW2-RNAi,9.261669804
ZLW2-RNAi,4.446021336
ZLW2-RNAi,1.570205918
ZLW2-RNAi,0.395759007
ZLW2-RNAi,10.78958463
ZLW2-RNAi,11.90389439
ZLW2-RNAi,14.93520104
ZLW2-RNAi,12.78405334
ZLW2-RNAi,19.29901482
ZLW2-RNAi,11.50203338
ZLW2-RNAi,12.48913123
ZLW2-RNAi,2.287721593
ZLW2-RNAi,13.78075737
ZLW2-RNAi,17.8008755
ZLW2-RNAi,3.24624093
ZLW2-RNAi,8.51416186
ZLW2-RNAi,4.033630943
ZLW2-RNAi,11.56844654
ZLW2-RNAi,9.82975084
ZLW2-RNAi,9.570121353
ZLW2-RNAi,14.7313939
ZLW2-RNAi,10.83423859
ZLW2-RNAi,8.111292965
ZLW2-RNAi,15.89785964
ZLW2-RNAi,14.8608271
ZLW2-RNAi,2.794059602
ZLW2-RNAi,14.2624832
ZLW2-RNAi,7.401948088
ZLW2-RNAi,14.64981013
ZLW2-RNAi,18.10933155
ZLW2-RNAi,9.147038583
ZLW2-RNAi,11.31522795
ZLW2-RNAi,14.1352895
ZLW2-RNAi,14.48204718
ZLW2-RNAi,9.126312974
ZLW2-RNAi,13.11939937
ZLW2-RNAi,7.876634532
ZLW2-RNAi,6.578334664
ZLW2-RNAi,15.8259779
ZLW2-RNAi,25.28408615
ZLW2-RNAi,16.73691361
ZLW2-RNAi,13.34418862
ZLW2-RNAi,3.423990933
ZLW2-RNAi,3.115950227
ZLW2-RNAi,17.57494288
ZLW2-RNAi,21.67898949
ZLW2-RNAi,7.660208136
ZLW2-RNAi,8.349032512
ZLW2-RNAi,5.634016993
ZLW2-RNAi,5.503905995
ZLW2-RNAi,7.522810005
ZLW2-RNAi,15.90074575
ZLW2-RNAi,3.177245839
ZLW2-RNAi,13.86783853
ZLW2-RNAi,12.71415631
ZLW2-RNAi,14.34706136
ZLW2-RNAi,11.58553693
ZLW3-RNAi,14.86824308
ZLW3-RNAi,16.64528776
ZLW3-RNAi,10.4647518
